,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
10 식료품 제조업,5,7,12,32,8,1,1,0,150,37,54,36,32,47,19,21,0,462
11 음료 제조업,0,0,0,1,0,0,0,0,3,4,1,0,1,2,3,1,0,16
13 섬유제품 제조업; 의복제외,9,1,28,8,1,0,0,0,89,0,7,2,6,7,21,8,0,187
"14 의복, 의복 액세서리 및 모피제품 제조업",41,3,0,3,2,0,0,0,17,0,0,0,5,1,0,0,0,72
"15 가죽, 가방 및 신발 제조업",5,1,0,2,0,0,0,0,20,0,0,0,0,0,0,3,0,31
16 목재 및 나무제품 제조업; 가구 제외,0,2,1,15,2,0,2,0,33,1,6,9,3,4,3,6,0,87
"17 펄프, 종이 및 종이제품 제조업",5,0,0,8,2,0,0,0,68,1,9,7,4,1,5,1,0,111
18 인쇄 및 기록매체 복제업,12,2,4,12,1,1,0,0,66,1,2,0,0,0,0,1,0,102
"19 코크스, 연탄 및 석유정제품 제조업",0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,5
20 화학물질 및 화학제품 제조업; 의약품 제외,11,6,10,36,0,6,6,0,109,4,31,24,23,10,8,7,1,292
21 의료용 물질 및 의약품 제조업,5,0,0,0,0,1,0,0,16,4,6,2,5,4,0,1,0,44
22 고무 및 플라스틱제품 제조업,8,2,13,47,24,1,9,1,177,8,26,13,15,13,34,17,0,408
23 비금속 광물제품 제조업,5,1,3,5,3,0,0,0,27,6,21,9,10,8,11,7,0,116
24 1차 금속 제조업,2,17,5,10,4,0,2,0,107,1,5,6,9,2,10,9,0,189
25 금속가공제품 제조업; 기계 및 가구 제외,7,62,75,255,30,10,13,1,727,16,39,52,46,41,73,129,0,1576
"26 전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",71,6,4,85,13,7,0,0,381,2,15,18,10,4,20,15,0,651
"27 의료, 정밀, 광학기기 및 시계 제조업",29,7,16,25,16,7,0,0,82,2,4,10,2,3,5,12,0,220
28 전기장비 제조업,45,21,18,88,35,12,7,1,275,14,15,31,10,40,16,24,0,652
29 기타 기계 및 장비 제조업,33,45,36,156,25,11,10,0,678,4,20,69,12,18,61,79,0,1257
30 자동차 및 트레일러 제조업,2,9,17,15,4,2,10,4,88,1,5,16,19,1,17,41,0,251
31 기타 운송장비 제조업,4,18,1,2,3,2,1,0,17,1,1,0,5,16,1,33,0,105
32 가구 제조업,0,2,3,19,4,1,0,0,98,4,1,2,2,1,3,2,0,142
33 기타 제품 제조업,13,3,2,11,2,0,1,0,31,5,1,0,9,3,3,4,0,88
34 산업용 기계 및 장비 수리업,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,8
