"행정구역","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율"
"전국  (1000000000)","51,421,479","23,757,654","          2.16","25,626,211","25,795,268","          0.99"
"서울특별시  (1100000000)","9,427,583","4,457,982","          2.11","4,567,957","4,859,626","          0.94"
"부산광역시  (2600000000)","3,315,516","1,559,593","          2.13","1,618,202","1,697,314","          0.95"
"대구광역시  (2700000000)","2,360,662","1,072,255","          2.20","1,160,942","1,199,720","          0.97"
"인천광역시  (2800000000)","2,971,788","1,326,947","          2.24","1,487,333","1,484,455","          1.00"
"광주광역시  (2900000000)","1,428,927","653,209","          2.19","706,167","722,760","          0.98"
"대전광역시  (3000000000)","1,445,875","675,760","          2.14","721,195","724,680","          1.00"
"울산광역시  (3100000000)","1,108,665","486,823","          2.28","569,576","539,089","          1.06"
"세종특별자치시  (3600000000)","385,285","160,012","          2.41","192,110","193,175","          0.99"
"경기도  (4100000000)","13,600,800","5,927,894","          2.29","6,844,167","6,756,633","          1.01"
"강원도  (4200000000)","1,534,067","756,314","          2.03","771,758","762,309","          1.01"
"충청북도  (4300000000)","1,593,434","773,184","          2.06","810,305","783,129","          1.03"
"충청남도  (4400000000)","2,123,625","1,022,584","          2.08","1,087,162","1,036,463","          1.05"
"전라북도  (4500000000)","1,766,524","857,504","          2.06","879,065","887,459","          0.99"
"전라남도  (4600000000)","1,814,858","908,722","          2.00","914,087","900,771","          1.01"
"경상북도  (4700000000)","2,594,399","1,288,685","          2.01","1,309,417","1,284,982","          1.02"
"경상남도  (4800000000)","3,272,381","1,518,385","          2.16","1,647,690","1,624,691","          1.01"
"제주특별자치도  (5000000000)","677,090","311,801","          2.17","339,078","338,012","          1.00"
